member,Fy,span_ft,w_asd_plf,footnote
600S162-54,50,10,250.0,e
600S162-54,50,12,145.0,e
600S200-54,33,3,3550.0,e
600S200-54,33,4,1997.0,e
600S200-54,33,5,1278.0,e
600S200-54,33,6,887.0,e
600S200-54,33,8,499.0,e
600S200-54,33,10,290.0,e
600S200-54,33,12,168.0,e
600S200-54,50,3,3763.0,e
600S200-54,50,4,2514.0,e
600S200-54,50,5,1609.0,e
600S200-54,50,6,1117.0,e
600S200-54,50,8,567.0,e
600S200-54,50,10,290.0,e
600S200-54,50,12,168.0,e
600S250-54,33,3,3364.0,e
600S250-54,33,4,1892.0,e
600S250-54,33,5,1211.0,e
600S250-54,33,6,841.0,e
600S250-54,33,8,473.0,e
600S250-54,33,10,303.0,e
600S250-54,33,12,193.0,e
600S250-54,50,3,3763.0,e
600S250-54,50,4,2630.0,e
600S250-54,50,5,1683.0,e
600S250-54,50,6,1169.0,e
600S250-54,50,8,644.0,e
600S250-54,50,10,330.0,e
600S250-54,50,12,191.0,e
600S137-68,50,3,4540.0,e
600S137-68,50,4,2554.0,e
600S137-68,50,5,1635.0,e
600S137-68,50,6,1135.0,e
600S137-68,50,8,528.0,e
600S137-68,50,10,271.0,e
600S137-68,50,12,157.0,
600S162-68,50,3,5685.0,e
600S162-68,50,4,3198.0,e
600S162-68,50,5,2046.0,e
600S162-68,50,6,1421.0,e
600S162-68,50,8,602.0,e
600S162-68,50,10,308.0,e
600S162-68,50,12,178.0,
600S200-68,50,3,5906.0,e
600S200-68,50,4,3322.0,e
600S200-68,50,5,2126.0,e
600S200-68,50,6,1476.0,e
600S200-68,50,8,700.0,e
600S200-68,50,10,358.0,e
600S200-68,50,12,207.0,e
600S250-68,50,3,6089.0,e
600S250-68,50,4,3425.0,e
600S250-68,50,5,2192.0,e
600S250-68,50,6,1522.0,e
600S250-68,50,8,807.0,e
600S250-68,50,10,413.0,e
600S250-68,50,12,239.0,e
600S137-97,50,3,7480.0,e
600S137-97,50,4,4208.0,e
600S137-97,50,5,2693.0,e
600S137-97,50,6,1696.0,e
600S137-97,50,8,715.0,
600S137-97,50,10,366.0,
600S137-97,50,12,212.0,
600S162-97,50,3,8358.0,e
600S162-97,50,4,4702.0,e
600S162-97,50,5,3009.0,e
600S162-97,50,6,1942.0,e
600S162-97,50,8,819.0,
600S162-97,50,10,420.0,
600S162-97,50,12,243.0,
600S200-97,50,3,9517.0,e
600S200-97,50,4,5353.0,e
600S200-97,50,5,3426.0,e
600S200-97,50,6,2272.0,e
600S200-97,50,8,959.0,e
600S200-97,50,10,491.0,
600S200-97,50,12,284.0,
600S250-97,50,3,9174.0,e
600S250-97,50,4,5160.0,e
600S250-97,50,5,3303.0,e
600S250-97,50,6,2293.0,e
600S250-97,50,8,1110.0,e
600S250-97,50,10,568.0,
600S250-97,50,12,329.0,
600S162-118,50,3,10159.0,e
600S162-118,50,4,5715.0,e
600S162-118,50,5,3657.0,e
600S162-118,50,6,2289.0,e
600S162-118,50,8,966.0,
600S162-118,50,10,495.0,
600S162-118,50,12,286.0,
600S200-118,50,3,11568.0,e
600S200-118,50,4,6507.0,e
600S200-118,50,5,4165.0,e
600S200-118,50,6,2690.0,e
600S200-118,50,8,1135.0,
600S200-118,50,10,581.0,
600S200-118,50,12,336.0,
600S250-118,50,3,11321.0,e
600S250-118,50,4,6368.0,e
600S250-118,50,5,4076.0,e
600S250-118,50,6,2830.0,e
600S250-118,50,8,1318.0,e
600S250-118,50,10,675.0,
600S250-118,50,12,390.0,
800S137-33,33,3,632.0,e
800S137-33,33,4,474.0,e
800S137-33,33,5,379.0,e
800S137-33,33,6,316.0,e
800S137-33,33,8,208.0,e
800S137-33,33,10,133.0,e
800S137-33,33,12,93.0,e
800S162-33,33,3,632.0,e
800S162-33,33,4,474.0,e
800S162-33,33,5,379.0,e
800S162-33,33,6,316.0,e
800S162-33,33,8,237.0,e
